,Q,S,male,Tier 2,Tier 3,Miss,Mr,Mrs,Other,Kid,Old,Teen,Young,Unique_ticket_status,Sibling_present,Parent_present
81,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
375,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
1167,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
335,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1244,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1
653,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
464,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
584,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
56,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
493,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
525,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1118,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
409,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1
953,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
181,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
177,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1180,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
674,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1149,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
107,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
239,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
414,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
194,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
453,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
349,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
133,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
996,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
167,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
311,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
12,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
971,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
994,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
828,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1273,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
632,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
793,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
587,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
899,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
830,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
49,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
1128,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
87,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
223,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1004,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1207,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
839,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
692,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
262,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
675,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
1260,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1263,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
809,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
131,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
707,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
310,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
765,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
341,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
135,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
744,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
350,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1127,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
496,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
959,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
663,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
735,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
355,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
393,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
604,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
920,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
351,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1187,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
298,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
628,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1286,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
190,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1248,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
766,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
1041,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
258,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
58,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
1159,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
671,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
535,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
236,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
1265,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
978,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
780,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
636,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
186,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
27,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1
169,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1182,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
785,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
280,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
126,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
480,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1
51,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
457,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
321,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
659,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1093,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
554,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
401,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
893,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
90,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
593,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
866,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
1021,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
512,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
957,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1066,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1259,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
303,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
80,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
977,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
713,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
78,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1082,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1291,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
799,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
403,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
35,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
950,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
631,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
1026,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
336,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
482,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
6,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1073,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
599,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
1040,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1
1064,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
774,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
47,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1142,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
216,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1269,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
672,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
383,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
754,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
573,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
94,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0
612,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
815,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
202,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
946,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
231,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
660,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
810,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1089,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
742,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
259,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
987,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
148,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
995,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
8,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
709,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
553,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
268,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
577,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
120,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
428,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
404,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
623,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
938,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
838,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
700,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
1116,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
759,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
301,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
956,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
315,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
62,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
503,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
745,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
1154,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
826,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1211,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
154,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
471,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
596,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
641,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
188,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
189,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
473,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
961,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
790,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
791,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
1297,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1
41,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
99,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
1020,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
997,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1051,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
854,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
208,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
83,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
250,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
76,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
228,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0
571,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1162,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
874,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
935,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
767,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
439,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
922,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
460,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
937,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
521,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
585,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
200,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
702,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
919,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1094,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1
382,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
446,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1285,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
613,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1146,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
929,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
211,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
390,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
244,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
620,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
274,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
205,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
680,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
286,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
821,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
220,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
325,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
34,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
85,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
984,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
156,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
670,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
495,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
559,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1035,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
572,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1205,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1197,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
1198,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1014,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1053,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
1084,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
881,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1145,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
264,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1272,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
720,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
926,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
726,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
1108,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1240,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
347,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1070,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
710,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1252,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
1008,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1
323,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
968,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1
134,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1032,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
840,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
575,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
10,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
478,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
644,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
1168,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
314,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
491,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
481,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
1114,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
528,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
894,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
537,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1296,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
104,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1
370,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
520,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
741,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
958,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
125,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
1284,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
625,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
541,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
395,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
800,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
1130,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
813,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
139,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1228,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
915,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
165,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
908,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
226,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0
1192,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
180,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1
191,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0
348,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
306,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
527,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
992,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1
1152,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1059,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
372,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
833,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
812,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
783,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
408,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
736,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
